Autonomous communities,Year,GDP,Population,GDP per capita,Domestic Waste and Wheelie Bins -C,Bulk -C,Metallics waste-C,Waste Glass-C,Waste Paper and Cardboard-C,Plastics-C,Waste Wood-C,Textile waste-C,Electrical waste-C,Battery-C,Animal-C,Mixed packaging-C,Sludge-C,Construction-C,Others-C,Total mixed waste-C,Total separately waste-C (tn),Total Waste-C,Recycling collection-D,Mixed Recovered Mater-D,Composting/anaerobic digestion FORS-D,Composting/anaerobic digestion-D,Incinerated-D,Landfill of rejects,Landfill without pre-treatment-D,Total Waste disposal (tn)-D,Total(tons/day),Per Capita(kg/capita/day),Processed_waste,Not Processed_waste
ANDALUCÍA,2010,144752225,8370975,17292.16,4213174,155836,11203,82031,136017,28898,13528,659,25185,305,91419,133157,18992,56816,7729,4369010,605939,4974949,362002.125,146473.125,37339.1875,625062.6875,0.0,2308242.875,486450.6875,3965570.6875,13630.0,0.59,1170877.12,2794693.56
ANDALUCÍA,2016,148405362,8388107,17692.35,3545590,361986,4425,99622,101816,727,8619,3301,4264,149,89603,81932,0,61285,32272,3907576,488015,4395591,412.818,166.217,45.572,685.734,0.0,2404796.0,59965.0,4314787.0,12042.72,0.52,1850026.0,2464761.0
ANDALUCÍA,2012,138007226,8449985,16332.25,4134974,99589,7185,76114,111678,10852,16997,2259,3014,129,94194,131749,12325,102004,6351,4234563,574851,4809414,357865.5,144930.5,37219.75,620111.75,0.0,2314553.5,479534.75,3954215.75,13176.48,0.57,1160127.5,2794088.25
ANDALUCÍA,2017,155371755,8379820,18541.18,3493910,380959,4627,91570,102877,1421,13969,3392,4349,118,92046,85646,0,110367,146,3874869,510528,4385397,386538.0,135538.0,37991.0,700793.0,0.0,2172227.0,588749.0,4021836.0,12014.79,0.52,1260860.0,2760976.0
ANDALUCÍA,2014,137722026,8402305,16390.98,3437380,252293,4321,82208,95866,2361,10070,2981,3006,132,99030,76354,0,104686,553,3689673,481568,4171241,341319.0,138760.0,36742.0,600308.0,0.0,2339796.0,451871.0,3908796.0,11428.06,0.5,1117129.0,2791667.0
ANDALUCÍA,2013,136048003,8440300,16118.86,3825590,181998,5361,79001,100864,809,12611,8134,2366,134,96069,77415,0,121090,51452,4007588,555306,4562894,374412.0,151101.0,37697.5,639915.5,0.0,2289311.0,507198.5,3999635.5,12501.08,0.54,1203126.0,2796509.5
ANDALUCÍA,2011,143389086,8424102,17021.29,3796057,152281,8370,74820,118200,13063,9155,2267,3054,148,105106,136141,12181,141142,724,3948338,624371,4572709,366138.75,148015.75,37458.625,630013.625,0.0,2301932.25,493366.625,3976925.625,12527.97,0.54,1181626.75,2795298.88
ANDALUCÍA,2015,144745569,8399043,17233.58,3479079,255581,4324,95057,100815,2363,10079,2945,3657,161,98345,80176,0,104780,554,3734660,503256,4237916,407505.0,163442.0,38653.0,679523.0,0.0,2238826.0,562526.0,4090475.0,11610.73,0.5,1289123.0,2801352.0
ANDALUCÍA,2018,160711363,8384408,19167.88,3755593,153300,1600,108768,117131,1677,12520,3269,5036,108,92395,94281,0,81204,374,3908893,518363,4427256,412818.0,166217.0,45572.0,685734.0,0.0,2404796.0,599650.0,4314787.0,12129.47,0.53,1310341.0,3004446.0
ARAGÓN,2012,31963049,1349467,23685.68,459778,4391,977,23905,25516,1733,10755,18,1321,56,4503,14095,59,30534,64,464169,113536,577705,71837.25,14039.25,0.0,66158.0,0.0,165098.75,211552.75,528685.25,1582.75,0.43,152033.75,376651.5
